stat_week,day,start_date,hours_open,hours_fished,licenses_fished,chinook_large,chinook_smalle,sockeye,coho
18,1,4/30/2017,,,,,,,
18,2,5/1/2017,,,,,,,
18,3,5/2/2017,,,,,,,
18,4,5/3/2017,,,,,,,
18,5,5/4/2017,,,,,,,
18,6,5/5/2017,,,,,,,
18,7,5/6/2017,,,,,,,
19,1,5/7/2017,,,,,,,
19,2,5/8/2017,,,,,,,
19,3,5/9/2017,,,,,,,
19,4,5/10/2017,,,,,,,
19,5,5/11/2017,,,,,,,
19,6,5/12/2017,,,,,,,
19,7,5/13/2017,,,,,,,
20,1,5/14/2017,,,,,,,
20,2,5/15/2017,,,,,,,
20,3,5/16/2017,,,,,,,
20,4,5/17/2017,,,,,,,
20,5,5/18/2017,,,,,,,
20,6,5/19/2017,,,,,,,
20,7,5/20/2017,,,,,,,
21,1,5/21/2017,,,,,,,
21,2,5/22/2017,,,,,,,
21,3,5/23/2017,,,,,,,
21,4,5/24/2017,,,,,,,
21,5,5/25/2017,,,,,,,
21,6,5/26/2017,,,,,,,
21,7,5/27/2017,,,,,,,
22,1,5/28/2017,,,,,,,
22,2,5/29/2017,,,,,,,
22,3,5/30/2017,,,,,,,
22,4,5/31/2017,,,,,,,
22,5,6/1/2017,,,,,,,
22,6,6/2/2017,,,,,,,
22,7,6/3/2017,,,,,,,
23,1,6/4/2017,,,,,,,
23,2,6/5/2017,,,,,,,
23,3,6/6/2017,,,,,,,
23,4,6/7/2017,,,,,,,
23,5,6/8/2017,,,,,,,
23,6,6/9/2017,,,,,,,
23,7,6/10/2017,,,,,,,
24,1,6/11/2017,,,,,,,
24,2,6/12/2017,,,,,,,
24,3,6/13/2017,,,,,,,
24,4,6/14/2017,,,,,,,
24,5,6/15/2017,,,,,,,
24,6,6/16/2017,,,,,,,
24,7,6/17/2017,,,,,,,
25,1,6/18/2017,,,,,,,
25,2,6/19/2017,,,,,,,
25,3,6/20/2017,,,,,,,
25,4,6/21/2017,,,,,,,
25,5,6/22/2017,,,,,,,
25,6,6/23/2017,,,,,,,
25,7,6/24/2017,,,,,,,
26,1,6/25/2017,,,,,,,
26,2,6/26/2017,,,,,,,
26,3,6/27/2017,24,24,4,38,19,278,0
26,4,6/28/2017,24,24,3,30,8,244,0
26,5,6/29/2017,,,,,,,
26,6,6/30/2017,,,,,,,
26,7,7/1/2017,,,,,,,
27,1,7/2/2017,24,24,6,38,11,267,10
27,2,7/3/2017,24,24,4,16,10,169,9
27,3,7/4/2017,,,,,,,
27,4,7/5/2017,,,,,,,
27,5,7/6/2017,,,,,,,
27,6,7/7/2017,,,,,,,
27,7,7/8/2017,,,,,,,
28,1,7/9/2017,24,24,7,19,10,551,18
28,2,7/10/2017,24,24,5,11,2,188,2
28,3,7/11/2017,24,24,1,0,0,7,3
28,4,7/12/2017,24,24,6,22,4,392,16
28,5,7/13/2017,,,,,,,
28,6,7/14/2017,,,,,,,
28,7,7/15/2017,,,,,,,
29,1,7/16/2017,24,24,5,9,5,186,36
29,2,7/17/2017,24,24,4,20,0,294,48
29,3,7/18/2017,24,24,5,10,5,327,49
29,4,7/19/2017,,,,,,,
29,5,7/20/2017,,,,,,,
29,6,7/21/2017,,,,,,,
29,7,7/22/2017,,,,,,,
30,1,7/23/2017,24,24,7,6,3,1193,108
30,2,7/24/2017,24,24,8,3,3,1424,95
30,3,7/25/2017,24,24,7,5,1,1141,85
30,4,7/26/2017,24,24,8,3,1,1632,107
30,5,7/27/2017,,,,,,,
30,6,7/28/2017,,,,,,,
30,7,7/29/2017,,,,,,,
31,1,7/30/2017,24,24,9,3,1,1011,307
31,2,7/31/2017,24,24,8,3,2,1657,303
31,3,8/1/2017,24,24,10,3,1,1642,307
31,4,8/2/2017,24,24,9,1,0,1100,262
31,5,8/3/2017,,,,,,,
31,6,8/4/2017,,,,,,,
31,7,8/5/2017,,,,,,,
32,1,8/6/2017,24,24,8,2,0,984,82
32,2,8/7/2017,24,24,9,0,0,836,59
32,3,8/8/2017,24,24,9,1,2,1521,133
32,4,8/9/2017,,,,,,,
32,5,8/10/2017,,,,,,,
32,6,8/11/2017,,,,,,,
32,7,8/12/2017,,,,,,,
33,1,8/13/2017,24,24,9,0,0,1215,321
33,2,8/14/2017,24,24,9,0,0,827,129
33,3,8/15/2017,24,24,10,3,0,1245,358
33,4,8/16/2017,,,,,,,
33,5,8/17/2017,,,,,,,
33,6,8/18/2017,,,,,,,
33,7,8/19/2017,,,,,,,
34,1,8/20/2017,24,24,9,0,0,1116,610
34,2,8/21/2017,24,24,11,0,0,847,428
34,3,8/22/2017,24,24,10,0,0,620,267
34,4,8/23/2017,,,,,,,
34,5,8/24/2017,,,,,,,
34,6,8/25/2017,,,,,,,
34,7,8/26/2017,,,,,,,
35,1,8/27/2017,24,24,7,0,0,836,339
35,2,8/28/2017,24,24,9,0,0,1675,557
35,3,8/29/2017,24,24,8,0,0,1588,550
35,4,8/30/2017,24,24,3,0,0,612,303
35,5,8/31/2017,,,,,,,
35,6,9/1/2017,,,,,,,
35,7,9/2/2017,,,,,,,
36,1,9/3/2017,24,24,9,0,0,832,481
36,2,9/4/2017,24,24,9,0,0,488,290
36,3,9/5/2017,,,,,,,
36,4,9/6/2017,,,,,,,
36,5,9/7/2017,,,,,,,
36,6,9/8/2017,,,,,,,
36,7,9/9/2017,,,,,,,
37,1,9/10/2017,24,24,4,0,0,287,109
37,2,9/11/2017,24,24,5,0,0,488,383
37,3,9/12/2017,24,24,6,0,0,489,562
37,4,9/13/2017,24,0,0,0,0,0,0
37,5,9/14/2017,,,,,,,
37,6,9/15/2017,,,,,,,
37,7,9/16/2017,,,,,,,
38,1,9/17/2017,,,,,,,
38,2,9/18/2017,,,,,,,
38,3,9/19/2017,,,,,,,
38,4,9/20/2017,,,,,,,
38,5,9/21/2017,,,,,,,
38,6,9/22/2017,,,,,,,
